CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,Country,Cluster,ClusterLabel,CLV,ChurnRisk,ChurnScore,R_Score,F_Score,M_Score,RFM_Score,Segment,Recommendation
12346,326,1,77183.6,77183.6,74215,1,United Kingdom,3,High Value,9953.31,High,87.2,1,1,4,6,Potential Loyalists,Offer membership & personalized offers
12347,2,7,4310.0,23.681318681318682,2458,103,Iceland,0,Active Mid,4430.53,Low,0.5,4,4,4,12,Champions,Reward with loyalty program & early access
12348,75,4,1797.24,57.97548387096774,2341,22,Finland,0,Active Mid,1464.33,Medium,20.1,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12349,19,1,1757.55,24.076027397260273,631,73,Italy,0,Active Mid,1676.24,Low,5.1,3,1,4,8,Loyal Customers,Upsell premium products & bundles
12350,310,1,334.4,19.670588235294115,197,17,Norway,1,Dormant Low,57.5,High,82.9,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12352,36,8,2506.04,29.482823529411764,536,59,Norway,0,Active Mid,2351.51,Low,9.6,3,4,4,11,Champions,Reward with loyalty program & early access
12353,204,1,89.0,22.25,20,4,Bahrain,1,Dormant Low,40.65,High,54.5,1,1,1,3,Lost,Last chance discount or remove from list
12354,232,1,1079.4,18.610344827586207,530,58,Spain,1,Dormant Low,411.79,High,62.0,1,1,3,5,At Risk,Send win-back campaign with 20% discount
12355,214,1,459.4,35.33846153846154,240,13,Bahrain,1,Dormant Low,197.48,High,57.2,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12356,23,3,2811.43,47.65135593220339,1591,53,Portugal,0,Active Mid,2676.41,Low,6.1,3,3,4,10,Champions,Reward with loyalty program & early access
12357,33,1,6207.67,47.38679389312977,2708,131,Switzerland,0,Active Mid,5687.02,Low,8.8,3,1,4,8,Loyal Customers,Upsell premium products & bundles
12358,2,2,1168.06,61.47684210526315,248,13,Austria,0,Active Mid,1172.93,Low,0.5,4,2,3,9,Loyal Customers,Upsell premium products & bundles
12359,58,4,6372.58,25.695887096774193,1622,214,Cyprus,0,Active Mid,5487.37,Medium,15.5,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12360,52,3,2662.06,20.63612403100775,1165,105,Austria,0,Active Mid,2324.83,Medium,13.9,2,3,4,9,Loyal Customers,Upsell premium products & bundles
12361,287,1,189.9,18.990000000000002,91,10,Belgium,1,Dormant Low,44.39,High,76.7,1,1,1,3,Lost,Last chance discount or remove from list
12362,3,10,5226.23,19.647481203007516,2229,201,Belgium,0,Active Mid,5432.36,Low,0.8,4,4,4,12,Champions,Reward with loyalty program & early access
12363,110,2,552.0,24.0,408,23,Unspecified,0,Active Mid,393.38,High,29.4,2,2,2,6,Potential Loyalists,Offer membership & personalized offers
12364,8,4,1313.1,15.448235294117646,1506,70,Belgium,0,Active Mid,1309.61,Low,2.1,4,3,3,10,Champions,Reward with loyalty program & early access
12365,291,2,641.38,29.153636363636362,174,22,Cyprus,1,Dormant Low,143.7,High,77.8,1,2,2,5,At Risk,Send win-back campaign with 20% discount
12367,4,1,168.9,15.354545454545455,173,11,Denmark,0,Active Mid,167.89,Low,1.1,4,1,1,6,Potential Loyalists,Offer membership & personalized offers
12370,51,4,3545.69,21.231676646706585,2353,143,Cyprus,0,Active Mid,3120.79,Medium,13.6,3,3,4,10,Champions,Reward with loyalty program & early access
12371,45,2,1887.96,29.96761904761905,591,63,Switzerland,0,Active Mid,1676.69,Low,12.0,3,2,4,9,Loyal Customers,Upsell premium products & bundles
12372,72,3,1298.04,24.962307692307693,794,34,Denmark,0,Active Mid,1063.2,Medium,19.3,2,3,3,8,Loyal Customers,Upsell premium products & bundles
12373,311,1,364.6,26.042857142857144,197,14,Austria,1,Dormant Low,61.71,High,83.2,1,1,2,4,At Risk,Send win-back campaign with 20% discount
12374,25,1,742.9300000000001,22.513030303030305,342,33,Austria,0,Active Mid,696.59,Low,6.7,3,1,3,7,Potential Loyalists,Offer membership & personalized offers
12375,11,2,457.5,26.91176470588235,178,14,Finland,0,Active Mid,448.29,Low,2.9,4,2,2,8,Loyal Customers,Upsell premium products & bundles
12377,315,2,1628.12,21.144415584415583,944,72,Switzerland,1,Dormant Low,259.3,High,84.2,1,2,3,6,Potential Loyalists,Offer membership & personalized offers
12378,130,1,4008.62,18.30420091324201,2529,219,Switzerland,0,Active Mid,2627.76,High,34.8,2,1,4,7,Potential Loyalists,Offer membership & personalized offers
12379,82,2,852.24,21.306,407,39,Belgium,0,Active Mid,671.75,Medium,21.9,2,2,3,7,Potential Loyalists,Offer membership & personalized offers
12380,22,4,2724.81,26.200096153846154,1127,77,Belgium,0,Active Mid,2613.61,Low,5.9,3,3,4,10,Champions,Reward with loyalty program & early access
